book,page,xaxis,yaxis
5.0,10.0,0.625,7.708333333
7.0,1.0,4.944444444,6.569444444
1.0,11.0,5.430555556,6.402777778
1.0,10.0,5.902777778,6.083333333
2.0,3.0,5.430555556,5.444444444
5.0,3.0,4.791666667,5.444444444
1.0,6.0,5.305555556,5.125
1.0,7.0,3.666666667,5.291666667
7.0,3.0,6.069444444,4.638888889
5.0,8.0,3.513888889,4.319444444
2.0,11.0,2.388888889,4.486111111
4.0,4.0,1.763888889,4.333333333
3.0,2.0,2.083333333,3.847222222
6.0,11.0,1.125,2.569444444
4.0,2.0,0.805555556,2.25
2.0,4.0,1.444444444,2.097222222
6.0,5.0,0.638888889,1.777777778
2.0,5.0,0.958333333,1.277777778
2.0,6.0,0.958333333,0.972222222
4.0,3.0,2.083333333,0.805555556
3.0,10.0,2.388888889,2.729166667
5.0,4.0,2.166666667,2.25
7.0,6.0,2.486111111,2.25
3.0,9.0,3.347222222,2.569444444
1.0,4.0,3.513888889,2.083333333
3.0,6.0,3.041666667,1.916666667
5.0,5.0,4.305555556,2.888888889
2.0,12.0,5.263888889,2.729166667
3.0,3.0,5.75,2.25
1.0,1.0,5.597222222,1.930555556
6.0,2.0,4.625,1.277777778
2.0,10.0,5.263888889,0.819444444
5.0,9.0,5.416666667,0.333333333
5.0,6.0,7.666666667,7.361111111
3.0,5.0,6.861111111,6.736111111
3.0,8.0,8.458333333,6.722222222
2.0,1.0,10.375,7.194444444
5.0,1.0,12.44444444,7.694444444
2.0,8.0,10.375,6.430555556
6.0,8.0,11.16666667,6.402777778
7.0,2.0,11.33333333,6.083333333
2.0,2.0,9.888888889,5.777777778
1.0,5.0,9.25,5.291666667
3.0,4.0,9.958333333,4.791666667
4.0,11.0,9.097222222,4.652777778
3.0,7.0,7.944444444,5.305555556
1.0,2.0,7.763888889,5.0
6.0,12.0,8.0,4.791666667
3.0,1.0,7.333333333,5.138888889
6.0,1.0,6.694444444,4.972222222
7.0,7.0,7.166666667,4.5
5.0,11.0,7.486111111,4.006944444
3.0,11.0,11.01388889,4.819444444
4.0,7.0,11.80555556,4.652777778
2.0,9.0,12.27777778,4.805555556
1.0,12.0,9.416666667,3.694444444
4.0,6.0,9.25,3.222222222
4.0,9.0,11.48611111,3.541666667
2.0,7.0,11.95833333,3.541666667
4.0,10.0,7.986111111,2.430555556
4.0,8.0,6.694444444,1.625
5.0,7.0,12.125,2.909722222
5.0,2.0,11.51388889,2.756944444
1.0,8.0,11.30555556,2.555555556
1.0,3.0,10.72222222,1.930555556
1.0,9.0,11.16666667,1.791666667
4.0,5.0,12.44444444,1.625
4.0,1.0,12.125,1.291666667
